0;<axiom>;PROGRAM;-;+;1;-;-
1;<program>;PROGRAM;-;+;12;+;-
2;#;#;+;+;;-;+
3;<program'>;BEGIN;-;-;6;-;-
4;<program'>;VAR;-;-;8;-;-
5;<program'>;#;-;+;11;-;-
6;<block>;BEGIN;-;+;28;+;-
7;DOT;DOT;+;+;;-;-
8;<var_decl>;VAR;-;+;17;+;-
9;<block>;BEGIN;-;+;28;+;-
10;DOT;DOT;+;+;;-;-
11;ε;#;-;+;;-;-
12;<program>;PROGRAM;-;+;13;-;-
13;PROGRAM;PROGRAM;+;+;14;-;-
14;IDENTIFIER;IDENTIFIER;+;+;15;-;-
15;SEMICOLON;SEMICOLON;+;+;16;-;-
16;<program'>;# BEGIN VAR;-;+;3;-;-
17;<var_decl>;VAR;-;+;18;-;-
18;VAR;VAR;+;+;19;-;-
19;<decl_list>;IDENTIFIER TYPE;-;+;24;-;-
20;<decl_list'>;IDENTIFIER TYPE;-;-;22;-;-
21;<decl_list'>;BEGIN;-;+;23;-;-
22;<decl_list>;IDENTIFIER TYPE;-;+;24;-;-
23;ε;BEGIN;-;+;;-;-
24;<decl_list>;IDENTIFIER TYPE;-;+;25;-;-
25;<decl>;IDENTIFIER TYPE;-;+;53;+;-
26;SEMICOLON;SEMICOLON;+;+;27;-;-
27;<decl_list'>;BEGIN IDENTIFIER TYPE;-;+;20;-;-
28;<block>;BEGIN;-;+;29;-;-
29;BEGIN;BEGIN;+;+;30;-;-
30;<stmt_list>;BEGIN END IDENTIFIER IF PRINT READ SEMICOLON WHILE;-;+;31;-;-
31;<stmt_list>;END;-;-;33;-;-
32;<stmt_list>;BEGIN IDENTIFIER IF PRINT READ SEMICOLON WHILE;-;+;34;-;-
33;END;END;+;+;;-;-
34;<stmt>;BEGIN IDENTIFIER IF PRINT READ SEMICOLON WHILE;-;+;36;+;-
35;<stmt_list>;BEGIN END IDENTIFIER IF PRINT READ SEMICOLON WHILE;-;+;31;-;-
36;<stmt>;IDENTIFIER;-;-;43;-;-
37;<stmt>;IF;-;-;45;-;-
38;<stmt>;WHILE;-;-;46;-;-
39;<stmt>;PRINT;-;-;47;-;-
40;<stmt>;READ;-;-;49;-;-
41;<stmt>;BEGIN;-;-;51;-;-
42;<stmt>;SEMICOLON;-;+;52;-;-
43;<assign>;IDENTIFIER;-;+;83;+;-
44;SEMICOLON;SEMICOLON;+;+;;-;-
45;<if_stmt>;IF;-;+;93;-;-
46;<while_stmt>;WHILE;-;+;99;-;-
47;<io>;PRINT;-;+;107;+;-
48;SEMICOLON;SEMICOLON;+;+;;-;-
49;<out>;READ;-;+;110;+;-
50;SEMICOLON;SEMICOLON;+;+;;-;-
51;<block>;BEGIN;-;+;28;-;-
52;SEMICOLON;SEMICOLON;+;+;;-;-
53;<decl>;IDENTIFIER;-;-;55;-;-
54;<decl>;TYPE;-;+;58;-;-
55;<ident_list>;IDENTIFIER;-;+;80;+;-
56;COLON;COLON;+;+;57;-;-
57;<type>;ARRAY CHAR INT REAL;-;+;62;-;-
58;TYPE;TYPE;+;+;59;-;-
59;IDENTIFIER;IDENTIFIER;+;+;60;-;-
60;EQ;EQ;+;+;61;-;-
61;<type>;ARRAY CHAR INT REAL;-;+;62;-;-
62;<type>;INT;-;-;66;-;-
63;<type>;REAL;-;-;67;-;-
64;<type>;CHAR;-;-;68;-;-
65;<type>;ARRAY;-;+;69;-;-
66;INT;INT;+;+;;-;-
67;REAL;REAL;+;+;;-;-
68;CHAR;CHAR;+;+;;-;-
69;ARRAY;ARRAY;+;+;70;-;-
70;LEFT_BRACKET;LEFT_BRACKET;+;+;71;-;-
71;INTEGER;INTEGER;+;+;72;-;-
72;RIGHT_BRACKET;RIGHT_BRACKET;+;+;73;-;-
73;OF;OF;+;+;74;-;-
74;<type>;ARRAY CHAR INT REAL;-;+;62;-;-
75;<ident_list'>;COLON;-;-;77;-;-
76;<ident_list'>;COMMA;-;+;78;-;-
77;ε;COLON;-;+;;-;-
78;COMMA;COMMA;+;+;79;-;-
79;<ident_list>;IDENTIFIER;-;+;80;-;-
80;<ident_list>;IDENTIFIER;-;+;81;-;-
81;IDENTIFIER;IDENTIFIER;+;+;82;-;-
82;<ident_list'>;COLON COMMA;-;+;75;-;-
83;<assign>;IDENTIFIER;-;+;84;-;-
84;<full_id>;IDENTIFIER;-;+;193;+;-
85;ASSIGN;ASSIGN;+;+;86;-;-
86;<expr>;FALSE FLOAT IDENTIFIER INTEGER LEFT_PAREN MINUS NOT TRUE;-;+;124;-;-
87;<if_stmt'>;ELSE;-;-;89;-;-
88;<if_stmt'>;END;-;+;92;-;-
89;ELSE;ELSE;+;+;90;-;-
90;<stmt>;BEGIN IDENTIFIER IF PRINT READ SEMICOLON WHILE;-;+;36;+;-
91;END;END;+;+;;-;-
92;END;END;+;+;;-;-
93;<if_stmt>;IF;-;+;94;-;-
94;IF;IF;+;+;95;-;-
95;<cond>;FALSE FLOAT IDENTIFIER INTEGER LEFT_PAREN MINUS NOT TRUE;-;+;172;+;-
96;THEN;THEN;+;+;97;-;-
97;<stmt>;BEGIN IDENTIFIER IF PRINT READ SEMICOLON WHILE;-;+;36;+;-
98;<if_stmt'>;ELSE END;-;+;87;-;-
99;<while_stmt>;WHILE;-;+;100;-;-
100;WHILE;WHILE;+;+;101;-;-
101;<cond>;FALSE FLOAT IDENTIFIER INTEGER LEFT_PAREN MINUS NOT TRUE;-;+;172;+;-
102;<stmt>;BEGIN IDENTIFIER IF PRINT READ SEMICOLON WHILE;-;+;36;-;-
103;<io'>;FALSE FLOAT IDENTIFIER INTEGER LEFT_PAREN MINUS NOT TRUE;-;-;105;-;-
